strategy,symbol,signal_time,side,price,share_price,strike_price,quantity,reason,execution_type,execution_status,executed_at_utc
DEMAND_SUPPLY,NIFTY,2026-03-02 04:20:00,SELL,1371.6,1371.6,,325,SL:1374.5 TSL:1374.5 TP:1365.8,PAPER,EXECUTED,2026-03-09 14:23:50
DEMAND_SUPPLY,NIFTY,2026-03-04 06:35:00,BUY,1346.4,1346.4,,325,SL:1343.7 TSL:1343.7 TP:1351.8,PAPER,EXECUTED,2026-03-09 14:23:50
DEMAND_SUPPLY,NIFTY,2026-03-05 06:55:00,BUY,1384.8,1384.8,,780,SL:1383.6 TSL:1383.6 TP:1387.2,PAPER,EXECUTED,2026-03-09 14:23:50
DEMAND_SUPPLY,NIFTY,2026-03-06 05:20:00,BUY,1416.4,1416.4,,390,SL:1418.6 TSL:1418.6 TP:1412.0,PAPER,EXECUTED,2026-03-09 14:23:50
DEMAND_SUPPLY,NIFTY,2026-03-09 04:05:00,BUY,1403.6,1403.6,,65,SL:1390.8 TSL:1390.8 TP:1429.2,PAPER,EXECUTED,2026-03-09 14:23:50
