Close,High,Low,Open,Volume
NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
274.19000244140625,274.5400085449219,274.19000244140625,274.5400085449219,0
274.3299865722656,274.3599853515625,274.010009765625,274.20001220703125,125506
274.0,274.30999755859375,273.7900085449219,274.30999755859375,123065
273.9700012207031,274.0,273.95001220703125,273.989990234375,70676
273.79998779296875,273.9100036621094,273.79998779296875,273.8399963378906,130577
273.70001220703125,273.79998779296875,273.6400146484375,273.79998779296875,64330
273.79998779296875,273.79998779296875,273.739990234375,273.79998779296875,47605
273.94000244140625,274.0,273.7699890136719,273.7699890136719,30783
273.8900146484375,273.989990234375,273.8900146484375,273.9700012207031,60491
273.79998779296875,273.8599853515625,273.739990234375,273.8599853515625,51817
273.79998779296875,273.80999755859375,273.7099914550781,273.79998779296875,59298
273.5199890136719,273.739990234375,273.5199890136719,273.69000244140625,28822
273.7900085449219,273.7900085449219,273.5199890136719,273.5199890136719,60614
273.7900085449219,273.7900085449219,273.6400146484375,273.760009765625,21000
273.79998779296875,273.8999938964844,273.760009765625,273.82000732421875,58053
273.5,273.8699951171875,273.3699951171875,273.8699951171875,135248
273.6099853515625,273.6199951171875,273.3500061035156,273.5,56370
273.6499938964844,273.7699890136719,273.6199951171875,273.6199951171875,34883
273.5799865722656,273.69000244140625,273.5,273.67999267578125,71292
273.45001220703125,273.5799865722656,273.3299865722656,273.57000732421875,46873
273.30999755859375,273.45001220703125,273.30999755859375,273.3299865722656,31081
273.0299987792969,273.3999938964844,273.0,273.3999938964844,99949
273.2799987792969,273.30999755859375,273.07000732421875,273.1000061035156,98004
273.2799987792969,273.30999755859375,273.20001220703125,273.2799987792969,24267
273.1000061035156,273.260009765625,273.1000061035156,273.260009765625,78585
273.1700134277344,273.19000244140625,273.1000061035156,273.1000061035156,44549
273.1300048828125,273.19000244140625,273.0899963378906,273.1199951171875,43548
273.3900146484375,273.3900146484375,273.1499938964844,273.1499938964844,25179
273.3999938964844,273.3999938964844,273.3599853515625,273.3800048828125,30657
273.70001220703125,273.70001220703125,273.45001220703125,273.45001220703125,117977
273.5899963378906,273.70001220703125,273.4100036621094,273.6700134277344,42850
273.67999267578125,273.67999267578125,273.42999267578125,273.4599914550781,15859
273.44000244140625,273.70001220703125,273.3299865722656,273.55999755859375,38884
273.45001220703125,273.510009765625,273.260009765625,273.45001220703125,37760
273.6000061035156,273.6199951171875,273.32000732421875,273.42999267578125,28743
273.6400146484375,273.6400146484375,273.4200134277344,273.6000061035156,68101
273.5199890136719,273.6099853515625,273.4100036621094,273.54998779296875,90192
273.510009765625,273.5799865722656,273.3500061035156,273.45001220703125,21456
273.5799865722656,273.6000061035156,273.4200134277344,273.5400085449219,57687
273.45001220703125,273.5799865722656,273.3599853515625,273.5799865722656,47966
273.32000732421875,273.5,273.32000732421875,273.44000244140625,52545
273.30999755859375,273.4200134277344,273.2300109863281,273.4200134277344,32104
273.20001220703125,273.30999755859375,273.0400085449219,273.30999755859375,79722
273.0400085449219,273.19000244140625,272.95001220703125,273.19000244140625,116018
273.0799865722656,273.1000061035156,272.8999938964844,272.8999938964844,43459
273.1499938964844,273.19000244140625,273.0799865722656,273.0799865722656,39929
273.239990234375,273.239990234375,273.010009765625,273.1499938964844,29046
273.3500061035156,273.3999938964844,273.29998779296875,273.29998779296875,26074
273.44000244140625,273.45001220703125,273.3500061035156,273.3999938964844,6482
273.4599914550781,273.4599914550781,273.3699951171875,273.3999938964844,27865
273.4800109863281,273.5,273.44000244140625,273.44000244140625,21577
273.4599914550781,273.489990234375,273.3999938964844,273.44000244140625,18026
273.5,273.5,273.44000244140625,273.4599914550781,13551
