Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-03-10 03:45:00+00:00,24195.80078125,24296.900390625,24187.75,24287.099609375,0
2026-03-10 03:46:00+00:00,24200.349609375,24206.849609375,24185.5,24197.099609375,0
2026-03-10 03:47:00+00:00,24180.94921875,24201.0,24163.400390625,24200.650390625,0
2026-03-10 03:48:00+00:00,24161.19921875,24181.30078125,24161.19921875,24181.30078125,0
2026-03-10 03:49:00+00:00,24150.400390625,24165.5,24150.400390625,24158.30078125,0
2026-03-10 03:50:00+00:00,24159.400390625,24160.80078125,24138.599609375,24150.69921875,0
2026-03-10 03:51:00+00:00,24148.44921875,24161.05078125,24143.099609375,24159.099609375,0
2026-03-10 03:52:00+00:00,24163.400390625,24174.650390625,24145.150390625,24147.650390625,0
2026-03-10 03:53:00+00:00,24160.69921875,24174.099609375,24158.75,24164.55078125,0
2026-03-10 03:54:00+00:00,24152.599609375,24161.55078125,24146.05078125,24159.849609375,0
2026-03-10 03:55:00+00:00,24145.849609375,24157.150390625,24144.599609375,24151.650390625,0
2026-03-10 03:56:00+00:00,24129.650390625,24149.55078125,24126.599609375,24145.099609375,0
2026-03-10 03:57:00+00:00,24149.650390625,24153.75,24129.599609375,24129.599609375,0
2026-03-10 03:58:00+00:00,24157.599609375,24157.599609375,24132.19921875,24146.69921875,0
2026-03-10 03:59:00+00:00,24159.80078125,24171.19921875,24148.69921875,24156.650390625,0
2026-03-10 04:00:00+00:00,24133.099609375,24164.599609375,24126.05078125,24159.349609375,0
2026-03-10 04:01:00+00:00,24137.400390625,24140.19921875,24121.30078125,24131.55078125,0
2026-03-10 04:02:00+00:00,24143.55078125,24155.5,24137.5,24137.5,0
2026-03-10 04:03:00+00:00,24135.80078125,24146.900390625,24131.650390625,24142.349609375,0
2026-03-10 04:04:00+00:00,24124.44921875,24135.25,24122.099609375,24135.25,0
2026-03-10 04:05:00+00:00,24119.30078125,24124.25,24115.849609375,24124.25,0
2026-03-10 04:06:00+00:00,24091.25,24120.0,24086.400390625,24119.69921875,0
2026-03-10 04:07:00+00:00,24108.75,24111.400390625,24088.900390625,24091.099609375,0
2026-03-10 04:08:00+00:00,24107.94921875,24111.0,24100.05078125,24108.44921875,0
2026-03-10 04:09:00+00:00,24093.400390625,24107.30078125,24091.900390625,24107.30078125,0
2026-03-10 04:10:00+00:00,24097.349609375,24102.05078125,24093.150390625,24093.150390625,0
2026-03-10 04:11:00+00:00,24097.55078125,24101.30078125,24089.349609375,24096.80078125,0
2026-03-10 04:12:00+00:00,24117.400390625,24117.400390625,24094.69921875,24096.099609375,0
2026-03-10 04:13:00+00:00,24127.94921875,24129.900390625,24114.44921875,24117.349609375,0
2026-03-10 04:14:00+00:00,24153.44921875,24155.25,24126.400390625,24128.349609375,0
2026-03-10 04:15:00+00:00,24138.349609375,24157.19921875,24130.900390625,24151.400390625,0
2026-03-10 04:16:00+00:00,24149.30078125,24149.30078125,24133.30078125,24138.69921875,0
2026-03-10 04:17:00+00:00,24126.30078125,24150.599609375,24126.05078125,24149.099609375,0
2026-03-10 04:18:00+00:00,24131.19921875,24132.650390625,24115.05078125,24125.30078125,0
2026-03-10 04:19:00+00:00,24136.650390625,24140.25,24128.69921875,24130.25,0
2026-03-10 04:20:00+00:00,24138.599609375,24140.25,24128.900390625,24136.599609375,0
2026-03-10 04:21:00+00:00,24130.900390625,24139.19921875,24127.150390625,24138.94921875,0
2026-03-10 04:22:00+00:00,24131.55078125,24135.75,24125.75,24130.400390625,0
2026-03-10 04:23:00+00:00,24133.900390625,24139.19921875,24130.55078125,24131.849609375,0
2026-03-10 04:24:00+00:00,24131.400390625,24133.849609375,24121.80078125,24133.849609375,0
2026-03-10 04:25:00+00:00,24118.94921875,24131.94921875,24118.650390625,24131.849609375,0
2026-03-10 04:26:00+00:00,24109.25,24120.900390625,24108.349609375,24119.05078125,0
2026-03-10 04:27:00+00:00,24100.69921875,24109.0,24093.349609375,24108.80078125,0
2026-03-10 04:28:00+00:00,24085.69921875,24100.400390625,24085.400390625,24099.75,0
2026-03-10 04:29:00+00:00,24093.099609375,24094.25,24079.94921875,24085.099609375,0
2026-03-10 04:30:00+00:00,24098.69921875,24100.349609375,24091.30078125,24092.05078125,0
2026-03-10 04:31:00+00:00,24121.900390625,24122.69921875,24098.44921875,24098.650390625,0
2026-03-10 04:32:00+00:00,24131.0,24132.75,24119.25,24122.099609375,0
2026-03-10 04:33:00+00:00,24133.19921875,24138.650390625,24129.599609375,24131.19921875,0
2026-03-10 04:34:00+00:00,24131.599609375,24133.19921875,24123.94921875,24132.05078125,0
2026-03-10 04:35:00+00:00,24127.55078125,24137.349609375,24126.349609375,24130.80078125,0
2026-03-10 04:36:00+00:00,24127.650390625,24128.05078125,24121.400390625,24127.44921875,0
2026-03-10 04:37:00+00:00,24132.94921875,24133.80078125,24127.94921875,24128.25,0
2026-03-10 04:38:00+00:00,24147.0,24147.5,24130.400390625,24132.25,0
2026-03-10 04:39:00+00:00,24139.5,24147.19921875,24136.849609375,24147.19921875,0
2026-03-10 04:40:00+00:00,24140.0,24142.150390625,24134.650390625,24139.150390625,0
