Price,Close,High,Low,Open,Volume
Ticker,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
Datetime,,,,,
2026-03-10 03:45:00+00:00,274.19000244140625,274.5400085449219,274.19000244140625,274.5400085449219,0
2026-03-10 03:46:00+00:00,274.3299865722656,274.3599853515625,274.010009765625,274.20001220703125,125506
2026-03-10 03:47:00+00:00,274.0,274.30999755859375,273.7900085449219,274.30999755859375,123065
2026-03-10 03:48:00+00:00,273.9700012207031,274.0,273.95001220703125,273.989990234375,70676
2026-03-10 03:49:00+00:00,273.79998779296875,273.9100036621094,273.79998779296875,273.8399963378906,130577
2026-03-10 03:50:00+00:00,273.70001220703125,273.79998779296875,273.6400146484375,273.79998779296875,64330
2026-03-10 03:51:00+00:00,273.79998779296875,273.79998779296875,273.739990234375,273.79998779296875,47605
2026-03-10 03:52:00+00:00,273.94000244140625,274.0,273.7699890136719,273.7699890136719,30783
2026-03-10 03:53:00+00:00,273.8900146484375,273.989990234375,273.8900146484375,273.9700012207031,60491
2026-03-10 03:54:00+00:00,273.79998779296875,273.8599853515625,273.739990234375,273.8599853515625,51817
2026-03-10 03:55:00+00:00,273.79998779296875,273.80999755859375,273.7099914550781,273.79998779296875,59298
2026-03-10 03:56:00+00:00,273.5199890136719,273.739990234375,273.5199890136719,273.69000244140625,28822
2026-03-10 03:57:00+00:00,273.7900085449219,273.7900085449219,273.5199890136719,273.5199890136719,60614
2026-03-10 03:58:00+00:00,273.7900085449219,273.7900085449219,273.6400146484375,273.760009765625,21000
2026-03-10 03:59:00+00:00,273.79998779296875,273.8999938964844,273.760009765625,273.82000732421875,58053
2026-03-10 04:00:00+00:00,273.5,273.8699951171875,273.3699951171875,273.8699951171875,135248
2026-03-10 04:01:00+00:00,273.6099853515625,273.6199951171875,273.3500061035156,273.5,56370
2026-03-10 04:02:00+00:00,273.6499938964844,273.7699890136719,273.6199951171875,273.6199951171875,34883
2026-03-10 04:03:00+00:00,273.5799865722656,273.69000244140625,273.5,273.67999267578125,71292
2026-03-10 04:04:00+00:00,273.45001220703125,273.5799865722656,273.3299865722656,273.57000732421875,46873
2026-03-10 04:05:00+00:00,273.30999755859375,273.45001220703125,273.30999755859375,273.3299865722656,31081
2026-03-10 04:06:00+00:00,273.0299987792969,273.3999938964844,273.0,273.3999938964844,99949
2026-03-10 04:07:00+00:00,273.2799987792969,273.30999755859375,273.07000732421875,273.1000061035156,98004
2026-03-10 04:08:00+00:00,273.2799987792969,273.30999755859375,273.20001220703125,273.2799987792969,24267
2026-03-10 04:09:00+00:00,273.1000061035156,273.260009765625,273.1000061035156,273.260009765625,78585
2026-03-10 04:10:00+00:00,273.1700134277344,273.19000244140625,273.1000061035156,273.1000061035156,44549
2026-03-10 04:11:00+00:00,273.1300048828125,273.19000244140625,273.0899963378906,273.1199951171875,43548
2026-03-10 04:12:00+00:00,273.3900146484375,273.3900146484375,273.1499938964844,273.1499938964844,25179
2026-03-10 04:13:00+00:00,273.3999938964844,273.3999938964844,273.3599853515625,273.3800048828125,30657
2026-03-10 04:14:00+00:00,273.70001220703125,273.70001220703125,273.45001220703125,273.45001220703125,117977
2026-03-10 04:15:00+00:00,273.5899963378906,273.70001220703125,273.4100036621094,273.6700134277344,42850
2026-03-10 04:16:00+00:00,273.67999267578125,273.67999267578125,273.42999267578125,273.4599914550781,15859
2026-03-10 04:17:00+00:00,273.44000244140625,273.70001220703125,273.3299865722656,273.55999755859375,38884
2026-03-10 04:18:00+00:00,273.45001220703125,273.510009765625,273.260009765625,273.45001220703125,37760
2026-03-10 04:19:00+00:00,273.6000061035156,273.6199951171875,273.32000732421875,273.42999267578125,28743
