timestamp,open,high,low,close,volume
2026-03-05 03:45:00,1354.9,1374.4,1354.9,1369.8,0
2026-03-05 03:50:00,1369.5,1378.8,1367.6,1377.6,512332
2026-03-05 03:55:00,1377.7,1378.0,1368.7,1373.8,460029
2026-03-05 04:00:00,1373.3,1376.1,1373.0,1373.6,238602
2026-03-05 04:05:00,1373.4,1373.8,1371.0,1372.6,965399
2026-03-05 04:10:00,1372.7,1380.2,1372.4,1376.4,543605
2026-03-05 04:15:00,1376.4,1382.4,1375.1,1380.5,478508
2026-03-05 04:20:00,1380.5,1385.6,1380.3,1383.3,343737
2026-03-05 04:25:00,1383.1,1385.6,1381.6,1384.9,313750
2026-03-05 04:30:00,1384.6,1387.2,1384.5,1384.7,214165
2026-03-05 04:35:00,1384.7,1386.6,1383.4,1384.5,197031
2026-03-05 04:40:00,1384.5,1386.0,1383.5,1384.0,431968
2026-03-05 04:45:00,1384.4,1385.5,1381.2,1381.4,130766
2026-03-05 04:50:00,1381.6,1381.9,1379.0,1379.5,621041
2026-03-05 04:55:00,1379.6,1379.8,1374.7,1377.5,395951
2026-03-05 05:00:00,1377.5,1377.9,1375.1,1375.7,137068
2026-03-05 05:05:00,1376.0,1380.9,1375.9,1379.7,170480
2026-03-05 05:10:00,1379.7,1384.5,1379.4,1384.1,127592
2026-03-05 05:15:00,1383.7,1385.5,1382.4,1382.6,222645
2026-03-05 05:20:00,1382.5,1383.6,1381.7,1383.5,60484
2026-03-05 05:25:00,1383.5,1385.0,1383.0,1384.0,61332
2026-03-05 05:30:00,1383.9,1385.5,1381.5,1382.9,147677
2026-03-05 05:35:00,1383.0,1384.7,1382.7,1383.4,202689
2026-03-05 05:40:00,1383.4,1383.9,1382.5,1382.6,79822
2026-03-05 05:45:00,1382.6,1385.0,1382.0,1384.1,108658
2026-03-05 05:50:00,1384.1,1384.4,1381.2,1382.4,119422
2026-03-05 05:55:00,1382.1,1383.0,1380.2,1380.7,104556
2026-03-05 06:00:00,1380.8,1385.9,1380.8,1383.7,78813
2026-03-05 06:05:00,1383.4,1383.9,1381.6,1382.9,188020
2026-03-05 06:10:00,1382.8,1383.2,1381.8,1382.2,314948
2026-03-05 06:15:00,1382.7,1383.2,1381.4,1381.6,170642
2026-03-05 06:20:00,1381.2,1382.0,1379.4,1381.9,600889
2026-03-05 06:25:00,1382.1,1382.8,1380.6,1382.7,144230
2026-03-05 06:30:00,1382.7,1385.7,1382.4,1385.5,347861
2026-03-05 06:35:00,1385.6,1388.3,1383.6,1384.7,705344
2026-03-05 06:40:00,1384.5,1386.4,1383.7,1385.7,106479
2026-03-05 06:45:00,1385.6,1386.0,1384.1,1385.0,262161
2026-03-05 06:50:00,1385.2,1386.4,1384.1,1384.3,102907
2026-03-05 06:55:00,1384.1,1385.4,1383.2,1384.8,161316
2026-03-05 07:00:00,1384.8,1385.0,1383.3,1383.4,49971
2026-03-05 07:05:00,1383.5,1384.4,1383.0,1384.2,63622
2026-03-05 07:10:00,1384.2,1385.9,1384.0,1384.9,68531
2026-03-05 07:15:00,1384.7,1385.1,1383.2,1383.3,77577
2026-03-05 07:20:00,1383.4,1384.7,1383.4,1384.2,69222
2026-03-05 07:25:00,1384.5,1385.0,1383.5,1383.6,99378
2026-03-05 07:30:00,1383.3,1383.6,1381.9,1382.3,117703
2026-03-05 07:35:00,1382.4,1382.8,1382.0,1382.2,91208
2026-03-05 07:40:00,1382.2,1382.4,1381.1,1381.6,85824
2026-03-05 07:45:00,1381.7,1382.2,1381.5,1381.7,296885
2026-03-05 07:50:00,1381.7,1382.5,1380.8,1382.4,125311
2026-03-05 07:55:00,1382.5,1384.3,1382.4,1384.3,129829
2026-03-05 08:00:00,1384.4,1386.2,1382.0,1383.2,599505
2026-03-05 08:05:00,1383.1,1383.5,1381.4,1382.8,257773
2026-03-05 08:10:00,1382.7,1383.3,1381.5,1382.8,292275
2026-03-05 08:15:00,1382.8,1383.5,1382.0,1382.5,93933
2026-03-05 08:20:00,1382.5,1382.6,1381.8,1381.8,84179
2026-03-05 08:25:00,1381.8,1381.8,1379.4,1380.6,543050
2026-03-05 08:30:00,1380.6,1381.8,1378.8,1379.2,220512
2026-03-05 08:35:00,1379.2,1379.8,1377.3,1377.3,160719
2026-03-05 08:40:00,1377.4,1378.5,1376.7,1377.8,135740
2026-03-05 08:45:00,1377.9,1379.0,1376.1,1376.9,410187
2026-03-05 08:50:00,1377.1,1380.8,1377.1,1379.7,307265
2026-03-05 08:55:00,1379.6,1381.9,1379.1,1381.9,195947
2026-03-05 09:00:00,1381.8,1381.8,1378.4,1378.6,276702
2026-03-05 09:05:00,1378.6,1387.1,1378.1,1386.2,475152
2026-03-05 09:10:00,1386.2,1392.5,1385.6,1389.7,549689
2026-03-05 09:15:00,1389.5,1391.3,1387.5,1390.2,615279
2026-03-05 09:20:00,1390.2,1397.9,1389.3,1397.9,495098
2026-03-05 09:25:00,1397.8,1399.0,1394.3,1398.8,483260
2026-03-05 09:30:00,1398.8,1398.8,1384.3,1390.7,1944353
2026-03-05 09:35:00,1390.5,1392.0,1388.0,1389.8,1227833
2026-03-05 09:40:00,1389.8,1392.5,1387.3,1387.8,1261335
2026-03-05 09:45:00,1387.5,1390.8,1384.4,1385.2,757628
2026-03-05 09:50:00,1385.2,1387.7,1383.5,1385.3,969368
2026-03-05 09:55:00,1385.2,1389.9,1385.2,1386.4,490448
2026-03-06 03:45:00,1398.6,1401.8,1390.3,1401.0,0
2026-03-06 03:50:00,1400.9,1408.1,1400.7,1407.1,772779
2026-03-06 03:55:00,1407.2,1415.6,1407.1,1414.3,911569
2026-03-06 04:00:00,1414.7,1417.2,1413.1,1416.3,464918
2026-03-06 04:05:00,1416.5,1419.4,1413.8,1414.1,691894
2026-03-06 04:10:00,1414.1,1415.7,1412.6,1415.2,376981
2026-03-06 04:15:00,1415.0,1416.9,1412.6,1413.0,223713
2026-03-06 04:20:00,1413.0,1414.4,1412.7,1414.2,108275
2026-03-06 04:25:00,1414.0,1414.9,1410.4,1411.7,194750
2026-03-06 04:30:00,1411.6,1414.9,1409.9,1413.9,212681
2026-03-06 04:35:00,1414.3,1417.7,1413.2,1417.7,165066
2026-03-06 04:40:00,1417.5,1418.5,1417.0,1417.5,136777
2026-03-06 04:45:00,1417.5,1423.8,1417.2,1423.8,358178
2026-03-06 04:50:00,1423.8,1424.2,1421.8,1423.5,220138
2026-03-06 04:55:00,1423.5,1424.0,1421.3,1422.7,190644
2026-03-06 05:00:00,1422.5,1422.5,1420.0,1420.8,191591
2026-03-06 05:05:00,1420.4,1421.7,1418.6,1419.7,196006
2026-03-06 05:10:00,1419.1,1420.1,1418.2,1420.0,126073
2026-03-06 05:15:00,1420.2,1420.2,1416.3,1416.3,293572
2026-03-06 05:20:00,1416.3,1419.0,1416.0,1416.4,190508
2026-03-06 05:25:00,1416.6,1417.7,1415.5,1417.7,144430
2026-03-06 05:30:00,1417.6,1420.3,1417.5,1420.0,173255
2026-03-06 05:35:00,1420.1,1422.7,1417.3,1418.8,209542
2026-03-06 05:40:00,1418.8,1419.3,1415.8,1416.1,88230
2026-03-06 05:45:00,1416.4,1417.3,1415.1,1416.9,130886
2026-03-06 05:50:00,1416.9,1418.4,1413.0,1413.1,308797
2026-03-06 05:55:00,1413.3,1415.8,1412.0,1415.5,252513
2026-03-06 06:00:00,1415.1,1418.0,1415.1,1417.8,126174
2026-03-06 06:05:00,1417.8,1422.0,1417.7,1422.0,227841
2026-03-06 06:10:00,1422.0,1422.0,1418.4,1418.4,263736
2026-03-06 06:15:00,1418.4,1420.9,1418.0,1420.6,106744
2026-03-06 06:20:00,1420.7,1421.8,1420.0,1420.8,205789
2026-03-06 06:25:00,1420.8,1421.0,1417.2,1418.3,337777
2026-03-06 06:30:00,1418.2,1418.2,1416.1,1416.3,121408
2026-03-06 06:35:00,1416.2,1418.0,1415.6,1417.8,137416
2026-03-06 06:40:00,1417.8,1418.5,1414.3,1416.1,139393
2026-03-06 06:45:00,1416.2,1416.2,1412.8,1413.3,198470
2026-03-06 06:50:00,1413.5,1416.2,1413.0,1415.5,148211
2026-03-06 06:55:00,1415.5,1415.6,1412.1,1413.9,616497
2026-03-06 07:00:00,1414.2,1416.7,1414.1,1415.6,137597
2026-03-06 07:05:00,1415.5,1416.5,1415.0,1415.4,76424
2026-03-06 07:10:00,1415.3,1417.6,1415.3,1417.4,105820
2026-03-06 07:15:00,1417.4,1417.7,1415.6,1417.5,95612
2026-03-06 07:20:00,1417.6,1420.1,1417.3,1418.2,241194
2026-03-06 07:25:00,1418.2,1419.7,1417.2,1419.6,192981
2026-03-06 07:30:00,1419.6,1420.4,1417.6,1418.3,190341
2026-03-06 07:35:00,1418.3,1419.0,1416.0,1417.3,111829
2026-03-06 07:40:00,1417.4,1418.9,1417.0,1417.9,95054
2026-03-06 07:45:00,1417.7,1418.2,1415.8,1417.4,157400
2026-03-06 07:50:00,1417.4,1418.7,1416.5,1418.3,121563
2026-03-06 07:55:00,1418.3,1419.0,1416.9,1417.8,178660
2026-03-06 08:00:00,1417.9,1417.9,1413.5,1415.1,180949
2026-03-06 08:05:00,1414.9,1418.7,1413.4,1417.4,262250
2026-03-06 08:10:00,1417.4,1417.5,1415.5,1415.5,113912
2026-03-06 08:15:00,1415.2,1415.5,1411.6,1412.4,408895
2026-03-06 08:20:00,1412.4,1413.6,1410.9,1411.2,290979
2026-03-06 08:25:00,1411.2,1411.4,1408.6,1408.6,349662
2026-03-06 08:30:00,1409.3,1412.7,1408.0,1411.5,336767
2026-03-06 08:35:00,1411.5,1413.3,1411.3,1413.3,227377
2026-03-06 08:40:00,1413.4,1414.9,1411.1,1411.7,421375
2026-03-06 08:45:00,1411.6,1414.7,1411.4,1413.9,119985
2026-03-06 08:50:00,1413.9,1414.5,1412.0,1414.1,112829
2026-03-06 08:55:00,1414.0,1414.5,1412.5,1413.9,282499
2026-03-06 09:00:00,1413.8,1417.2,1413.8,1416.0,217267
2026-03-06 09:05:00,1415.8,1417.0,1413.9,1414.2,151178
2026-03-06 09:10:00,1414.2,1414.2,1410.2,1410.8,166291
2026-03-06 09:15:00,1410.8,1412.2,1402.4,1405.1,505397
2026-03-06 09:20:00,1405.1,1409.5,1404.7,1407.2,176313
2026-03-06 09:25:00,1407.3,1408.1,1405.6,1406.4,108106
2026-03-06 09:30:00,1406.6,1407.8,1404.5,1405.0,431940
2026-03-06 09:35:00,1404.9,1405.6,1403.5,1405.5,456250
2026-03-06 09:40:00,1405.6,1406.3,1403.9,1404.7,428069
2026-03-06 09:45:00,1404.8,1404.8,1401.0,1403.0,374741
2026-03-06 09:50:00,1402.9,1404.7,1402.8,1404.4,329071
2026-03-06 09:55:00,1404.8,1409.7,1404.6,1408.0,264579
2026-03-09 03:45:00,1375.0,1401.3,1375.0,1392.7,0
2026-03-09 03:50:00,1392.2,1406.8,1390.8,1397.0,1844267
2026-03-09 03:55:00,1396.5,1404.7,1394.3,1401.9,597303
2026-03-09 04:00:00,1401.8,1405.0,1400.0,1400.7,365653
2026-03-09 04:05:00,1400.7,1409.0,1396.5,1403.6,530796
2026-03-09 04:10:00,1403.5,1405.6,1395.5,1400.7,895835
2026-03-09 04:15:00,1400.3,1404.0,1398.3,1403.6,312400
2026-03-09 04:20:00,1403.4,1405.5,1402.2,1405.0,235118
2026-03-09 04:25:00,1404.8,1412.9,1404.8,1411.6,677120
2026-03-09 04:30:00,1411.6,1412.0,1407.6,1408.1,321396
2026-03-09 04:35:00,1407.9,1409.7,1405.1,1407.5,341994
2026-03-09 04:40:00,1407.6,1408.2,1401.2,1401.6,221860
2026-03-09 04:45:00,1402.0,1403.2,1399.4,1401.0,268565
2026-03-09 04:50:00,1400.5,1402.4,1397.7,1397.7,198534
2026-03-09 04:55:00,1397.6,1399.8,1396.3,1398.6,354020
2026-03-09 05:00:00,1398.6,1401.7,1397.6,1401.0,245600
2026-03-09 05:05:00,1400.9,1403.6,1399.8,1402.5,220568
2026-03-09 05:10:00,1402.5,1403.3,1400.4,1401.8,80724
2026-03-09 05:15:00,1401.8,1402.3,1398.9,1399.4,125960
2026-03-09 05:20:00,1399.1,1402.5,1397.2,1400.8,341377
2026-03-09 05:25:00,1400.7,1402.5,1399.1,1399.9,118915
2026-03-09 05:30:00,1400.0,1400.0,1397.5,1398.5,109468
2026-03-09 05:35:00,1398.8,1402.5,1398.5,1399.9,307507
2026-03-09 05:40:00,1399.7,1400.7,1393.7,1396.0,263776
2026-03-09 05:45:00,1396.0,1396.0,1391.1,1393.9,249381
2026-03-09 05:50:00,1393.5,1396.0,1393.1,1393.5,130126
2026-03-09 05:55:00,1393.6,1398.0,1393.0,1397.0,277317
2026-03-09 06:00:00,1396.9,1400.3,1395.7,1399.1,386893
2026-03-09 06:05:00,1399.4,1403.0,1399.4,1401.9,287074
2026-03-09 06:10:00,1402.1,1406.0,1401.2,1402.7,605390
2026-03-09 06:15:00,1402.7,1404.6,1401.1,1402.7,143241
2026-03-09 06:20:00,1402.8,1402.9,1401.0,1401.6,121514
2026-03-09 06:25:00,1401.7,1405.3,1401.2,1404.0,104599
2026-03-09 06:30:00,1404.1,1404.1,1400.0,1401.0,148043
2026-03-09 06:35:00,1400.9,1400.9,1397.0,1397.1,192150
2026-03-09 06:40:00,1397.2,1399.6,1395.7,1398.9,127832
2026-03-09 06:45:00,1398.9,1400.1,1398.4,1399.6,179547
2026-03-09 06:50:00,1399.6,1401.5,1399.0,1401.3,196379
2026-03-09 06:55:00,1401.3,1401.5,1398.9,1399.6,229375
2026-03-09 07:00:00,1399.6,1399.9,1397.1,1397.9,187372
2026-03-09 07:05:00,1397.9,1399.0,1397.0,1398.9,76907
2026-03-09 07:10:00,1398.9,1399.9,1397.6,1399.8,95538
2026-03-09 07:15:00,1399.7,1401.1,1399.2,1400.6,182823
2026-03-09 07:20:00,1400.7,1404.2,1400.2,1403.8,187805
2026-03-09 07:25:00,1403.8,1407.0,1402.7,1407.0,412533
2026-03-09 07:30:00,1407.0,1407.7,1404.3,1406.7,564297
2026-03-09 07:35:00,1406.4,1407.9,1405.5,1405.7,297805
2026-03-09 07:40:00,1405.7,1406.4,1403.4,1403.7,127987
2026-03-09 07:45:00,1403.7,1404.8,1402.3,1402.8,606692
2026-03-09 07:50:00,1402.8,1406.9,1402.5,1404.9,220598
2026-03-09 07:55:00,1404.9,1407.7,1404.2,1405.1,293268
2026-03-09 08:00:00,1405.7,1409.5,1405.3,1407.7,352996
2026-03-09 08:05:00,1407.6,1408.3,1406.5,1407.3,160685
2026-03-09 08:10:00,1407.0,1408.0,1405.5,1406.0,266422
2026-03-09 08:15:00,1405.8,1407.0,1403.3,1405.6,218552
2026-03-09 08:20:00,1405.6,1407.8,1404.8,1406.8,155146
2026-03-09 08:25:00,1407.0,1408.7,1406.5,1407.8,118877
2026-03-09 08:30:00,1407.8,1408.4,1405.8,1408.3,125656
