timestamp,open,high,low,close,volume,price,interval,provider,symbol,source,exchange_segment,security_id,instrument,open_interest,is_closed
2026-03-30 03:45:00,22574.6992,22609.8008,22472.9492,22522.4492,0,22522.4492,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 03:50:00,22521.1992,22551.4004,22500.0996,22529.3008,0,22529.3008,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 03:55:00,22526.0996,22590.4004,22516.9004,22580.75,0,22580.75,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:00:00,22581.4004,22684.6992,22576.75,22683.5996,0,22683.5996,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:05:00,22681.5508,22713.3008,22661.9004,22677.4004,0,22677.4004,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:10:00,22675.8008,22703.6992,22652.6504,22659.25,0,22659.25,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:15:00,22659.5508,22690.0,22628.8496,22630.4492,0,22630.4492,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:20:00,22630.1992,22665.3008,22617.1992,22618.5,0,22618.5,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:25:00,22617.9492,22629.8008,22596.9492,22615.3008,0,22615.3008,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:30:00,22614.6992,22665.5,22604.6992,22651.1992,0,22651.1992,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:35:00,22650.0508,22650.0508,22594.0508,22601.5996,0,22601.5996,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:40:00,22600.1992,22600.1992,22556.5996,22596.75,0,22596.75,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
2026-03-30 04:45:00,22595.9004,22603.9492,22553.5,22556.3008,0,22556.3008,5m,YAHOO,^NSEI,YAHOO_DOWNLOAD,,,,0,True
