strategy,trades,wins,losses,win_rate_pct,total_pnl,timeframe,data_start,data_end,run_at_utc
BREAKOUT,4,2,2,50.0,1011.2,RELIANCE.NS|5m|5d,2026-03-05 03:45:00,2026-03-11 07:30:03,2026-03-11 07:30:04
DEMAND_SUPPLY,5,3,2,60.0,2168.5,RELIANCE.NS|5m|5d,2026-03-05 03:45:00,2026-03-11 07:30:03,2026-03-11 07:30:04
ONE_TRADE_DAY,5,2,3,40.0,999.6,RELIANCE.NS|5m|5d,2026-03-05 03:45:00,2026-03-11 07:30:03,2026-03-11 07:30:04
BTST,1,1,0,100.0,10162.6,RELIANCE.NS|5m|5d,2026-03-05 03:45:00,2026-03-11 07:30:03,2026-03-11 07:30:04
